name;success;x;y;intercept;slope;m01_ampli;m02_ampli;m03_ampli;m04_ampli;m05_ampli;m01_fwhm;m02_fwhm;m03_fwhm;m04_fwhm;m05_fwhm;m01_x0;m02_x0;m03_x0;m04_x0;m05_x0
ordered_map.txt  X=1764.2  Y=72.5;True;1764.2;72.5;40.686;-0.001;594.043;21.89;21.381;38.158;49.827;9.974;199.957;58.166;17.039;37.131;520.259;325.955;610.96;947.443;541.363
ordered_map.txt  X=1764.6  Y=72.5;True;1764.6;72.5;29.379;0.008;571.212;30.515;15.531;26.757;50.928;10.236;193.693;60.931;24.22;35.598;520.34;327.37;615.326;946.968;543.685
ordered_map.txt  X=1765.0  Y=72.5;True;1765.0;72.5;35.067;-0.001;596.803;23.486;12.839;34.146;38.269;10.287;198.195;75.802;18.134;47.989;520.14;325.134;618.254;948.568;550.523
ordered_map.txt  X=1765.4  Y=72.5;True;1765.4;72.5;32.065;0.003;567.819;26.505;18.933;36.378;38.892;10.597;198.378;61.808;17.623;38.78;520.151;323.963;612.083;947.901;544.046
ordered_map.txt  X=1765.8  Y=72.5;True;1765.8;72.5;34.675;0.001;580.438;26.656;17.981;37.632;41.147;10.184;192.563;29.747;16.893;51.553;520.325;327.946;619.011;943.887;551.412
ordered_map.txt  X=1766.2  Y=72.5;True;1766.2;72.5;35.635;0.001;599.364;32.94;18.557;36.722;33.946;10.853;193.384;84.907;19.469;32.955;520.419;327.715;607.272;945.511;555.299
ordered_map.txt  X=1766.6  Y=72.5;True;1766.6;72.5;33.399;0.001;633.001;31.485;8.683;27.32;31.688;10.151;194.96;126.134;27.708;53.273;520.304;321.33;615.724;948.549;566.193
ordered_map.txt  X=1767.0  Y=72.5;True;1767.0;72.5;36.027;0.002;604.839;31.823;17.708;34.732;37.623;10.809;187.724;66.64;13.197;34.444;520.283;325.799;604.527;946.393;553.929
ordered_map.txt  X=1767.4  Y=72.5;True;1767.4;72.5;37.815;-0.003;625.001;23.662;19.271;36.912;49.807;9.699;198.513;68.738;18.715;36.533;520.393;325.243;609.261;949.223;541.764
ordered_map.txt  X=1767.8  Y=72.5;True;1767.8;72.5;37.393;0.002;640.441;26.608;25.672;44.021;76.475;9.498;199.673;58.908;16.828;20.88;520.108;326.083;596.665;947.184;537.458
ordered_map.txt  X=1768.2  Y=72.5;True;1768.2;72.5;34.711;-0.006;623.734;19.249;22.633;37.337;56.367;10.283;192.216;70.749;26.06;26.802;520.45;324.184;601.312;951.021;539.24
ordered_map.txt  X=1768.6  Y=72.5;True;1768.6;72.5;29.12;-0.005;653.55;17.017;20.087;38.982;71.185;9.996;199.417;87.308;24.285;24.622;520.087;311.696;617.636;946.345;537.45
ordered_map.txt  X=1769.0  Y=72.5;True;1769.0;72.5;28.267;-0.009;666.975;15.003;20.407;35.068;67.342;9.864;147.601;76.142;34.55;23.838;520.256;288.123;617.614;949.893;537.674
ordered_map.txt  X=1769.4  Y=72.5;True;1769.4;72.5;23.012;-0.01;658.004;15.801;16.733;37.749;75.597;9.766;91.902;73.801;31.573;27.639;520.085;288.117;625.516;949.821;537.732
ordered_map.txt  X=1769.8  Y=72.5;True;1769.8;72.5;27.412;-0.012;678.905;16.071;15.908;41.048;74.397;9.445;102.128;92.959;31.972;23.534;520.027;288.708;604.219;950.716;537.45
ordered_map.txt  X=1770.2  Y=72.5;True;1770.2;72.5;25.949;-0.014;643.258;16.493;16.939;37.506;57.47;10.248;99.01;112.234;29.328;25.873;520.269;288.124;628.872;948.621;537.545
ordered_map.txt  X=1770.6  Y=72.5;True;1770.6;72.5;25.91;-0.016;662.898;18.405;22.542;47.023;74.102;9.642;95.255;82.028;63.288;24.331;520.049;288.361;625.031;963.935;537.445
ordered_map.txt  X=1771.0  Y=72.5;True;1771.0;72.5;25.735;-0.009;635.62;15.389;15.571;39.319;73.43;9.926;114.803;66.8;31.688;23.099;520.067;303.617;618.942;953.826;538.006
ordered_map.txt  X=1771.4  Y=72.5;True;1771.4;72.5;24.911;-0.01;654.931;18.864;15.489;38.905;75.021;9.856;80.124;93.835;22.524;22.665;520.031;288.959;623.242;948.779;537.675
ordered_map.txt  X=1771.8  Y=72.5;True;1771.8;72.5;28.462;-0.027;650.373;19.236;21.63;46.243;85.801;9.918;95.184;120.418;127.446;22.264;520.061;289.298;636.628;974.408;537.452
ordered_map.txt  X=1772.2  Y=72.5;True;1772.2;72.5;28.325;-0.015;652.845;15.381;17.421;40.547;70.512;9.73;89.981;90.62;32.318;26.343;520.202;289.223;626.109;948.163;538.136
ordered_map.txt  X=1772.6  Y=72.5;True;1772.6;72.5;27.221;-0.016;653.362;16.033;18.699;38.884;71.779;9.852;81.814;92.041;43.439;27.307;520.149;289.382;628.153;955.352;539.62
ordered_map.txt  X=1757.0  Y=72.9;True;1757.0;72.9;24.776;-0.01;635.519;16.545;14.385;32.6;79.856;10.089;98.443;88.975;35.955;24.287;520.182;306.958;619.097;948.394;537.569
ordered_map.txt  X=1757.4  Y=72.9;True;1757.4;72.9;25.483;-0.011;649.882;17.733;15.665;38.744;69.872;10.173;95.436;96.628;29.779;27.48;520.107;288.089;622.128;948.343;539.029
